metier_original,occurrences,traduction_fr,est_malgache
MANJAITRA KIRARO,16,CHAUSSURES À COUDRE,True
MIVAROTRA ENTANA MADINIKA,16,VENDRE DES BIENS AU DÉTAIL,True
MPAMBOLY VARY SY VOANJO,16,PRODUCTEURS DE RIZ ET DE MAÏS,True
MANAMPY MAMBOLY,16,AIDE À PLANTER,True
SARANKANTSAHA,16,PRINCIPAL,True
OPERATEUR DE SAISIE,16,OPÉRATEUR DE SAISIE,True
TECHNICIEN,16,TECHNICIEN,True
MAMBOLY TSAKO SY KABARO,16,CULTURE DE LÉGUMES ET KABARO,True
AIDE MACON,16,AIDE MACON,True
MITARIKA SARETY,16,TRAÎNE UN WAGON,True
MAMBOLY BALAHAZO SY VOANJO,16,SACS DE CULTURE ET ARACHIDES,True
MPANJONO FILAO AN-DRANOMASINA,15,PÊCHE EN MER,True
MANAO SY MIVAROTRA MOFO,15,FABRIQUER ET VENDRE DU PAIN,True
MPIVAROTRA KIRARO,15,REVENDEUR DE CHAUSSURES,True
MABOLY MANGAHAZO,15,CULTURE DES PLANTES,True
MIVAROTRA VOANJO,15,VENDRE DES ARACHIDES,True
MANAMPY ANTRANO,15,PORTION,True
MANOEUVRE TRANO,15,MAISON DE MANŒUVRE,True
MIKARAKARA TOKATRANO,15,CHERCHE UNE MAISON,True
MPANAMPY FIANAKAVIANA MAMBOLY VARY,15,AIDE FAMILIALE PLANTANT DU RIZ,True
MIVAROTRA QUINCAILLERIE,15,QUINCAILLERIE À VENDRE,True
MPANDRARY TSIHY SY HARONA,15,FABRICANTS DE TAPIS ET DE PANIERS,True
PRODUCTEUR DU PEPINIERE,15,PRODUCTEUR DE PÉPINIÈRE,True
MPANAMBOATRA TOAKA GASY,15,FABRICANT DE GAZ ALCOOL,True
MECANICIEN MOTO,15,MÉCANICIEN MOTO,True
MPIVAROTRA AMIN'NY EPICERIE,15,REVENDEUR EN ÉPICÉRIES,True
MANAO FANAKA,15,FAIRE DES MEUBLES,True
TECHNICIEN AGRICOLE,15,TECHNICIEN AGRICOLE,True
MAMBOLY VARY MANGAHAZO VOMANGA,15,PLANTATION DE POMMES DE TERRE POUR LA CULTURE DU RIZ,True
MPANJONO TRONDRO ANDRANOMASINA,15,PÊCHE EN MER,True
MPIOMPY AKOHO AMAM-BORONA,15,ÉLEVEURS DE POULET À LA VOLAILLE,True
MAMBOATRA TRANO,15,CONSTRUIRE UNE MAISON,True
SASA LAMBA,15,LAVAGE DES VÊTEMENTS,True
MPAMBOLY JIROFO SY VANILLE,15,PRODUCTEURS DE CARVANCE ET DE VANILLE,True
MPIVAROTRA AKOHO,15,VENDEUR DE POULET,True
MIVAROTRA TRAKA,15,VENDRE DES PISTES,True
MITONDRA CYCLOPOUSSE,15,CONDUIRE UN CYCLOPOUSE,True
MIVAROTRA ENTA MADINIKA,15,VENDRE DES BIENS AU DÉTAIL,True
MANAMBOATRA YAOURT,15,FAIRE DU YAOURT,True
REPARATEUR TELEPHONE,15,RÉPARATION DE TÉLÉPHONE,True
MPANASALAMBA,15,SALVATORE,True
MPIVAROTRA LASOPY,15,VENDEUR DE SOUPE,True
MPAMBOLY LEGUMES,15,PRODUCTEUR DE LÉGUMES,True
MAMBOLY VOANJOBORY,15,PLANT DU MAÏS,True
MANAMBOATRA TOAKA,15,FABRICATION D'ALCOOL,True
MIGOZA FIBRE SISAL,15,RUPTURE DE FIBRE DE SISAL,True
MITSANDRAKA VOLAMENA,15,ESSAYEZ L'OR,True
MPIVAROTRA SAKOA,15,VENDEUR DE CHICAGO,True
MPIVAROTRA COMPOSE,15,REVENDEURS DE COMPOSITES,True
PAMBOLY VARY,14,RIZICULTEURS,True
MIVAROTRA RAOKANDRO,14,VENDRE DES HERBES,True
MPITANDRO FILAMINANA,14,AGENT DE LA PAIX,True
MAMPIANATRA FRAM,14,CADRE D'ENSEIGNEMENT,True
CAISSIERE,14,CAISSIER,True
MANAMBOATRA MOFO SY CAFE,14,FAIRE DU PAIN ET DU CAFÉ,True
MIVAROTRA FRIP,14,VENDRE FRIP,True
MIARAKANDRO OMBY,14,VÊTEMENTS DE VACHE,True
PAMBOLY MANGAHAZO,14,AGRICULTEURS DE JARDIN,True
MAMBOLY TONGOLO GASY,14,USINES À GAZ EN CROISSANCE,True
MIVIDY SY MIVAROTRA OSY VELONA,14,ACHETER ET VENDRE DES CHÈVRES VIVANTES,True
MITONDRA TUC TUC,14,CONDUIRE UN TUC TUC,True
MPITSARA,14,JUGE,True
MAMPIANATRA AMIN'NY LYCEE,14,ENSEIGNEMENT AU LYCEE,True
MACON MPANAO TRANO,14,CONSTRUCTEURS Mâconnais,True
PEINTRE,14,PEINTRE,True
MPIVAROTRA CONFECTION,14,REVENDEUR DE CONFISERIE,True
MPANDRAFITRA HAZO,14,CHARPENTIER EN BOIS,True
MPIANTOKA POMME,14,ASSUREUR DE POMMES DE TERRE,True
MPAMBOATRA CHARBON,14,FABRICANT DE CARBONE,True
"MPAMBOLY VARY,KATSAKA,MANGAHAZO",14,"PRODUCTEUR DE RIZ, MAÏS, JARDIN",True
MANDRAFITRA FANAKA VITA @ HAZO,14,CONCEPTION DE MEUBLES EN BOIS,True
MIVAROTRA PLANCHE,14,PLANCHES À VENDRE,True
MACHON,14,MACHON,True
MPIVAROTRA PPN,14,VENDEUR DE PPN,True
MPANJONO TRONDRO AN-DRANOMAMY,14,PÊCHEUR D'EAU DOUCE,True
MIVAROTRA POKETRA,14,VENTE DE SACS À MAIN,True
MANDRARY SY MIVAROTRA TSIHY,14,MALADE ET VENDRE DES TAPIS,True
MIVAROTRA FRIPPERIE,14,VENDRE FRIPPERIE,True
MPIVAROTRA TRAKA,14,CONCESSIONNAIRE DE CAMIONS,True
MIOMPY TRONDRO,14,AQUACULTURE,True
KARAMAINA MANAMBOATRA CHARBON,14,SALAIRE DANS LA FABRICATION DE CHARBONE,True
MAMBOLY VARY MANGAHAZO SNS,14,PLANTER DU RIZ POUR CULTIVER DU SNS,True
MIVAROTRA SARIBAO,14,VENDRE DU CHARBON,True
MPAMBOLY GIROFLE,14,PETITE AMIE PRODUCTEUR,True
MPITONDRA BAJAJ,14,CONDUCTEUR BAJAJ,True
MITATITRA ENTANA,14,DÉCLARATION DE MARCHANDISES,True
SARAKATRAHA,13,SARAKATRAHA,True
MITSIMPONA KARETSIKA,13,RÉCUPÉREZ NOS VOITURES,True
MPIAVA TANIMBOLY,13,VOYAGEUR DE JARDIN,True
MPIHADY SAFIRA,13,Creuseurs de saphir,True
MANADIO TANANA,13,NETTOYEZ VOS MAINS,True
MANAO BAR,13,FAIRE UNE BARRE,True
MPANAO SARAKATSA,13,FABRICANT INDIVIDUEL,True
"MAMBOLY VARY,KATSAKA",13,"CULTURE DU RIZ, DU MAÏS",True
MANASA LAMBAN'OLONA,13,LAVAGE DES VÊTEMENTS DES GENS,True
"MPAMBOLY VARY, MANGAHAZO",13,"RIZICULTEURS, RÉCOLTEUR",True
MPANDOKO TRANO,13,PEINTRE EN MAISON,True
MITSIMPONA TSAKAFOKA,13,Cueillette de nourriture,True
SASALAMBA,13,BONNE CHANCE,True
MITRANDRAKA SAFIRA,13,SAPHIR MINIER,True
MIKARAMA MANETSA VARY,13,CUISEUR À RIZ EN LOCATION,True
MAMBOLY PETIT POIS,13,PLANTE PETIT POIS,True
OUVRAGE METALIQUE,13,TRAVAUX METALLIQUES,True
CASH POINT,13,POINTE D'ARGENT,True
MANAMPY MIVAROTRA,13,AIDE À VENDRE,True
MPANAO SARAK'ATSAHA,13,DIFFÉRENTS FABRICANTS,True
MECANICIEN AUTOMOBILE,13,MÉCANICIEN AUTOMOBILE,True
BARMAN,13,BARMAN,True
MITAONA BIRIKY,13,CONSTRUIRE DES BRIQUES,True
MPANAMBOATRA CHARBON,13,FABRICANT DE CARBONE,True
CHAUFFEUR TAXIBROUSSE,13,CHAUFFEUR DE TAXI BRUXELLES,True
MAMBOATRA TOAKA,13,FABRICATION D'ALCOOL,True
MEDECIN GENERALISTE,13,MÉDECINE GÉNÉRALE,True
MPIVAROTRA VARY FOTSY,13,VENDEUR DE RIZ BLANC,True
MANAO CASH POINT,13,FAIRE DES CASH POINTS,True
MPANAMPY AO ANTRANO,13,AIDE À DOMICILE,True
MANAO SARAK'ANTSAHY,13,FAIRE DES DEMI-ROBES,True
MPITSABO NENTIMPAHARAZANA,13,MÉDECIN EXPÉRIMENTÉ,True
AGENT PENITENTIAIRE,13,AGENT PÉNITENCIAIRE,True
CHAUFEUR TAXI BE,13,GRAND CHAUFFEUR DE TAXI,True
MPANAO SARAKASAHA,13,GÉRANT INDIVIDUEL,True
FITRANDRAHANA VOLAMENA,13,Exploitation minière de l'or,True
PITATITRA TOAKA,13,RAPPORT D'ALCOOL,True
MIVAROTRA KATSAKA,13,VENDRE DU MAÏS,True
MANOEUVRE BTP,13,MANŒUVRE BTP,True
PECHEUR,13,PÊCHEUR,True
MIVAROTRA TRONDRO MANDEHANDEHA,13,VENDRE DU POISSON EN VOYAGE,True
MPIVAROTRA PARAKY,13,REVENDEUR DE TABAC,True
MPIVAROTRA KATY,13,KATHY CONCESSIONNAIRE,True
TRESSE DES NATTES,12,TRESSE DES NATTES,True
MIADY FATSAKANA,12,BIEN COMBATTRE,True
MPAMBOLY VOAGNEMBA,12,AGRICULTEURS DE VOAGNEMBA,True
MPISIVANA VOLAMENA,12,FILTRE DORÉ,True
MPIVAROTRA PARAKY GASY,12,REVENDEUR DE TABAC À GAZ,True
MIVAROTRA JUS SY CLARNETTE,12,VENDRE JUS ET CLARNETTE,True
MPIVAROTRA HENA,12,COMMERÇANTS DE VIANDE,True
FIASANA TANY,12,TRAVAIL DU TERRAIN,True
MITSIPONA KABARO,12,MISPONA KABARO,True
MPANAMOATRA FANAKA,12,FABRICANT DE MEUBLES,True
MPANAO SARIBAO,12,FABRICANT DE CHARBON,True
AGENT COMMERCIAL,12,AGENT COMMERCIAL,True
MPITONDRA SARETY,12,CONDUCTEUR DE WAGON,True
SOUDURE,12,SOUDAGE,True
MENUISIER,12,MENUISEUR,True
MAMPIANATRA AMBARATONGA VOALOHANY,12,ENSEIGNEMENT PREMIER DIPLÔMÉ,True
MAMPIANATRA AMIN'NY AMBARATONGA VOALOHANY,12,ENSEIGNEMENT AU PREMIER NIVEAU,True
MIVAROTRA VOATABIA,12,VENDRE DES TOMATES,True
MIVAROTRA TRONDRO LENA,12,VENDRE DU POISSON HUMIDE,True
MPANJONO AN-DRANOMAMY,12,PÊCHEUR D'EAU DOUCE,True
MAMBOLY VARY SY FARY,12,CULTURE DU RIZ ET DU SUCRE,True
MAMBOLY SY MIVAROTRA VANILLE,12,CULTURE ET VENTE DE VANILLE,True
MIVAROTRA LAMBA CONFECTION,12,VENTE DE TISSUS DE CONFECTION,True
COMMERCIAL,12,COMMERCIAL,True
MANAO SARAKATSA,12,FAIRE QUELQUE CHOSE,True
COLLECTEUR VANILLE,12,COLLECTEUR DE VANILLE,True
MANETSA VARY,12,CUISSON DU RIZ,True
MIVAROTRA FANAKA,12,MEUBLES À VENDRE,True
ENSEIGNANT,12,PROFESSEUR,True
CHAUFFEUR TAXI MOTO,12,CHAUFFEUR DE TAXI MOTO,True
MIVAROTRA PARAKY GASY,12,VENTE DE GAZ DE TABAC,True
MPIVAROTRA ENTAMADINIKA,12,ÉPICERIE,True
AIDE MENAGERE,12,DIRECTEUR ADJOINT,True
MIANDRY 0MBY,12,EN ATTENDANT PLUS,True
MAMBOLY BALAHAZO SY KATSAKA,12,CULTURE DU BOIS ET DU MAÏS,True
MPITONDRA FIVAVAHANA,12,DIRIGEANTS RELIGIONS,True
MPIVAROTRA CONFITURE,12,REVENDEURS CONFIRMÉS,True
MAMBOLY TOMATE,12,PLANTATION DE TOMATES,True
MPIVAROTRA LAMBA FRIPERIE,12,MARCHAND DE TISSUS,True
MPAMBOLY MADINIKA (ovy),12,PETITS AGRICULTEURS (pommes de terre),True
MANEFY VOLAMENA,12,GAGNER L'OR,True
Mamboly vary sy katsaka,12,Cultivez du riz et du maïs,True
OUVRIER AGRICOLE,12,OUVRIER AGRICOLE,True
CHAUFFEUR SERVICE PATRON,12,CHAUFFEUR DE SERVICE PATRON,True
FAMPIANARANA,12,ÉDUCATION,True
MANAO TSIHY,12,FAIRE UN TAPIS,True
MITARIKA POSSY,12,Diriger un possy,True
MAMBOLY JOROFO,12,CORNE DE PLANTATION,True
MIVAROTRA HAZO,12,VENDRE DU BOIS,True
PANAMPY TRANO,12,ACCESSOIRES MAISON,True
FIVAROTANA KITAY,12,MAGASIN DE BOIS DE CHAUFFAGE,True
MANAMBOATRA SOBIKA,12,RÉPARER UN PANIER,True
MIVAROTRA KAFE MANDEHANDEHA,12,VENDRE DU CAFÉ EN DÉPLACEMENT,True
MPAMPIANATRA AMIN NY EPP,12,ENSEIGNANT PPE,True
MANAO SARA-KATSAHA,12,FAIRE SARA-KATSAHA,True
COMMISSIONNAIRE,12,COMMISSAIRE,True
Manjono trondro andranomasina,12,Pêche en mer,True
AIDE BOUCHERS,12,AIDE BOUCHERS,True
MPITATITRA ENTANA,12,TRANSPORTEUR DE FRET,True
MPIVAROTRA FRIPE,12,REVENDEUR FRIP,True
MPAMILY FIARA,12,CONDUCTEUR DE VOITURE,True
MPIVAROTRA LAMBA CONFECTION,12,REVENDEUR DE TISSUS DE CONFECTION,True
MANOTRA,12,MASSAGE,True
ELECTRICIEN BATIMENT,12,ÉLECTRICIEN DU BÂTIMENT,True
Mamboly vary sy Akondro,12,Planter du riz et des bananes,True
MIKARAMA MAMBOLY VOMANGA,12,CULTURE DE POMMES DE TERRE À LOCATION,True
CONDUCTEUR BICYCLETTE,12,CONDUCTEUR DE VÉLO,True
MIVAROTRA YAOURT,12,VENDRE DU YAOURT,True
MPANARATO TRONDRO AN-DRANOMASINA,12,PÊCHEUR EN MER,True
POLICE NATIONAL,12,POLICE NATIONALE,True
MPITSABO,12,MÉDECIN,True
MIVAROTRA KATY,12,À VENDRE,True
MAKA RANON OLONA,12,OBTENEZ DE L'EAU HUMAINE,True
NIAVA VOANJO,12,LE NOYER A ÉTÉ CASSÉ,True
MIOMPY POULET DE CHAIRE,12,POULET CHAISE DE RACE,True
AIDE BOUCHER,12,AIDE BOUCHER,True
MIVAROTRA FOTSIMBARY,12,VENTE DU VENDREDI,True
"MAMBOLY VARY,VOASARY,SAKOA,AKONDRO",12,"CULTURE DU RIZ, CONCOMBRE, CHICAGO, BANANES",True
MIVAROTRA GLACE,12,VENDRE DE GLACE,True
FAMBOLENA VANILLE,12,PLANTATION DE VANILLE,True
REVENDEUR DE TOAKA GASY,12,REVENDEUR D'ALCOOL GAZ,True
MAMBOLY LA VANILLE SY VARY,12,CULTIVEZ LA VANILLE ET LE RIZ,True
MIAVA MANGAHAZO,12,VENEZ LE RÉCUPÉRER,True
MPIVAROTRA AKONDRO,12,VENDEUR DE BANANE,True
KARAKATSAHA,12,DESSIN,True
DÖKERA,12,MÉDECIN,True
MANJONO HAZANDRANOMAMY,12,PÊCHE DU POISSON DOUX,True
MIKAPOKA VATO,12,FRAPPER UNE PIERRE,True
MANAMBOATRA SY MIVAROTRA LASOPY,12,FABRICATION ET VENTE DE SOUPE,True
MANAMBOATRA SY MIVAROTRA MOFO SY KAFE,12,FABRIQUER ET VENDRE DU PAIN ET DU CAFÉ,True
MANAMBOATRA SY MIVAROTRA KAFE SY MOFO,12,FABRIQUER ET VENDRE DU CAFÉ ET DU PAIN,True
CHAUFFEUR TAXI-BROUSSE,12,CHAUFFEUR DE TAXI À BRUXELLES,True
MAMBOLY KAJAHA,12,PLANTATION DE KAJAHA,True
MPANDISA VATO,12,COUPE-PIERRE,True
MPITSABO NENTIPAHARAZANA,12,MÉDECIN PRATIQUE,True
MIVAROTRA FIA ANDRANOMASINA,12,VOITURES ANDRANOSINAM À VENDRE,True
MPIANTOKA AKOHO,12,ASSUREUR DU POULET,True
MIVAROTRA ENTAMADINIKA,12,VENDRE DES PRODUITS D'ÉPICERIE,True
"MAMBOLY VOANJO,TSIASISA,BALAHAZO",12,"PLANTATION D'ARACHIDES, POMMES DE TERRE, BALAJAS",True
MANAO MOFO SY CAFE,11,FAIRE DU PAIN ET DU CAFÉ,True
MPAMBOLY PARAKY,11,LES PRODUCTEURS DE TABAC,True
MANOEUVRE DE BATIMENT,11,MANŒUVRE DE CONSTRUCTION,True
SARAKATSAHA MIJINJA VARY,11,SARAKATSAHA RÉCOLTE DU RIZ,True
CHAUFFEUR VOITURE PRIVE/CHAUFFEUR@ KARANY,11,CHAUFFEUR DE VÉHICULE PRIVÉ/CHAUFFEUR @ CASH,True
AIDE MECANICIEN,11,ASSISTANT MÉCANICIEN,True
MPIVAROTRA HANINA MASAKA,11,REVENDEUR DE PRODUITS CUISINES,True
MAMBOATRA CHARBON,11,FABRICATION DU CARBONE,True
MIOMPY POULET DE CHAIR,11,CHAISE DE FERME POULET,True
MITONDRA POUSSE,11,Apportez un coup de pouce,True
CUISINER,11,CUISINER,True
MIVAROTRA POULET DE CHAIRE,11,POULET SUR CHAISE À VENDRE,True
MIVARO BARY,11,ACHETER DU BLÉ,True
MAMBOLY VARY MADINIKA,11,CULTURE DE PETIT RIZ,True
COLLECTEUR DE VANILLE,11,COLLECTIONNEUR DE VANILLE,True
MANAO DOKERA,11,MÉDECIN,True
MAMBOLY VARY KATSAKA,11,PLANTATION DE RIZ,True
CALL CENTER,11,CENTRE D'APPELS,True
MANOTRA OLONA,11,PERSONNES DE MASSAGE,True
MIKARAMA MANAO TRANO,11,LOCATION POUR CONSTRUIRE UNE MAISON,True
CONSEILLER CLIENT,11,CONSEILLER CLIENTÈLE,True
CHAUFFEUR BUS,11,CHAUFFEUR D'AUTOBUS,True
MAMPIANATRA @ EPP,11,ENSEIGNEMENT @ EPP,True
COUPEUSE SISAL,11,COUPEUSE SISAL,True
MAMBOLY PETSAY,11,PLANTATION DE PETSAY,True
MPITORY NY FILAZANTSARA,11,PRÉDICATEUR DE L'ÉVANGILE,True
MPIVAROTRA DITE SY MOFO,11,REVENDEUR DE THÉ ET DE Pâtisseries,True
MPAMPIANATRA AMIN'NY LYCEE,11,PROFESSEUR DE LYCÉE,True
MAMBOLY OVY MADINIKA,11,CULTURE DE PETITES POMMES DE TERRE,True
MAMBOLY VARY SY TSARAMASO,11,CULTURE DU RIZ ET DU SUCRE,True
MPIVAROTRA MANGAHAZO,11,VENDEUR RECHERCHÉ,True
MIVAROTRA FOURNITURE DE BUREAU,11,VENTE DE MOBILIER DE BUREAU,True
MAMBOLY KATY,11,PLANTATION DE KATY,True
MPIVAROTRA LETCHI,11,VENDEUR LETCHI,True
MIVAROTRA ENTA-MAJINIKA,11,VENTE D'ÉQUIPEMENT MÉCANIQUE,True
MPIOMPY AKOHO AMAMBORONA,11,ÉLEVEURS DE POULET,True
MIVAROTRA MOFO SY CAFE,11,VENDRE DU PAIN ET DU CAFÉ,True
MAMBOLY JIROFO SY VANILLE,11,CULTIVER CARVANCE ET VANILLE,True
MPAMBOLY KABARO,11,AGRICULTEUR KABARO,True
MPITARIKA POSSY,11,CHEF DE POSSY,True
MPAMPIANATRA LYCEE,11,PROFESSEUR DE LYCÉE,True
MPAMBOLY VARY SY LEGUMES,11,PRODUCTEURS DE RIZ ET DE LÉGUMES,True
"NAMBOLY VARY,KATSAKA,VOMANGA,OVY,POMA",11,"RIZ PLANTÉ, MAÏS, POMMES DE TERRE, POMMES DE TERRE, POMMES",True
NANAMPY NY TOKANTRANO NAMBOLY,11,IL A AIDÉ LA PLANTE MÉNAGÈRE,True
MBAMBOLY VARY,11,CULTURE DU RIZ,True
MIKARAMA MIASA TANY,11,Embauche pour travailler sur la terre,True
MPANERA CHARBON,11,PRESSE À CARBONE,True
MPINTRANDRAKA VATO,11,MINEURS DE PIERRE,True
MPAMBOLY SY MPIOMPY,11,AGRICULTEURS ET ÉLEVEURS,True
DEMARCHEUR SAPHIR,11,SAPHIR DEMARCHEUR,True
BOULANGERIE,11,BOULANGERIE,True
FAMBOLENA FARY,10,PLANTATION DE SUCRE,True
MANAO KIBAROA,10,FAIRE DES ENFANTS,True
MAINTENANCE,10,ENTRETIEN,True
AIDE MENAGE,10,AIDE MENAGERE,True
RECEPTIONNISTE,10,RÉCEPTIONNISTE,True
MPIVAROTRA TOAKA,10,Marchand d'alcool,True
MPITATITRA PAOMA AMIN'NY SARETIN'OMBY,10,PORTEUR DE POMMES PAR OX WAGON,True
AGENT DE CREDIT,10,AGENT DE CRÉDIT,True
MIVAROTRA PARAKY KOSOKA,10,VENDRE DU TABAC BROYÉ,True
MPANETY,10,Coiffeur,True
COIFFEUR,10,COIFFEUR,True
DEPANNEUR ELECTRONIQUE,10,DÉPANNAGE ÉLECTRONIQUE,True
MPITONDRA POUSSY,10,CHAUFFEUR D'AUTOBUS,True
MIVAROTRA KOBA VARY,10,VENDRE DE LA FARINE DE RIZ,True
MANAMBOATRA HUILE ESSENTIELLE,10,FABRIQUER DES HUILES ESSENTIELLES,True
MIVAROTRA TOMATE,10,VENDRE DES TOMATES,True
MANAMBOATRA JIRO KAPOAKA,10,FAIRE DES LUMIÈRES DE CANETTES,True
CONSEILLER PEDAGOGIQUE,10,CONSEILLER PÉDAGOGIQUE,True
MPIVAROTRA GARGOTTE,10,CONCESSIONNAIRE GARGOTTES,True
MAMBOLY TSAKO,10,CULTURE DE LÉGUMES,True
MPANIVA VOLAMENA,10,PLONGEURS D'OR,True
MIVAROTRA MOFO MENAKA,10,VENDRE DU PAIN AU BEURRE,True
MANJONO ANDRANOMAMY,10,PÊCHE À L'ANDRANOMAMIE,True
MANAO MOFO CROISSANT,10,FAIRE DU PAIN CROISSANT,True
MPANABE,10,PROFESSEUR,True
MANAMBOATRA SY MIVAROTRA MOFO,10,FABRICATION ET VENTE DE PAIN,True
MANAMBOATRA BICYCLETTE,10,RÉPARATION DE VÉLOS,True
MPANERA TRANO SY TANY ARY ENTANA,10,"CONSTRUCTEURS, TERRAINS ET BIENS",True
COLLECTEUR,10,COLLECTIONNEUR,True
MANARATO TRONDRO ANDRANOMAMY,10,PÊCHE ET POISSONS D'RANOMAMIE,True
MPANJONO MADINIKA,10,PETITS PÊCHEURS,True
MPIVAROTRA AMIN'NY EPICERIE AMORON-DALANA,10,VENDEUR DANS UNE EPICECERIE EN BORD DE ROUTE,True
MITARY POUSSY,10,CHATTE MITAIRE,True
MPIANDRY OMBIN'OLONA,10,BERGER HUMAIN,True
MPAMBOLY LOJY SY VOANJO,10,PRODUCTEURS DE LOGO ET D'ARACHIDES,True
MIVAROTRA FIRAVAKA,10,VENDRE DES BIJOUX,True
MANAPAKA HAZO,10,COUPE DU BOIS,True
MPAMBOLY CAFE,10,PRODUCTEURS DE CAFÉ,True
MAMBOLY VARY LEGUME,10,PLANT DE LÉGUMINEUSES DE RIZ,True
MANAO SY MIVAROTRA MOFO GASY SY KAFE,10,FABRIQUER ET VENDRE DU PAIN ET DU CAFÉ AU GAZ,True
PRESIDENT FOKONTANY,10,PRÉSIDENT DU VILLAGE,True
MANJONO HAZANDRANOMASINA,10,PÊCHE DU POISSON DE MER,True
MPANAO JOURNEE,10,CRÉATEUR DE VOYAGE,True
MACHINISTE AO @ ZONE,10,MÉCANISTE AO @ ZONE,True
MANAO ASA AN TRANO,10,TRAVAILLER À LA MAISON,True
MIVAROTRA MANGA,10,VENDRE BLEU,True
MPIKARAMA ISANANDRO,10,EMPLOYÉ AU QUOTIDIEN,True
MPAMBOLY VARY SY VOATABIA,10,PRODUCTEURS DE RIZ ET DE TOMATES,True
MANDOKO TRANO,10,Peindre une maison,True
MPANAO PLANCHE,10,FABRICANT DE PLANCHES,True
"Mamboly vary,vanille,café,haricot",10,"Plantez du riz, de la vanille, du café, des haricots",True
MIVAROTRA VARY MANTA,10,VENDRE DU RIZ BRUT,True
MIVAROTRA FANAFODIM-BYBY,10,VENDRE DES MÉDICAMENTS ANIMAUX,True
ELEVER DE VOLLAILE,10,ASCENSEUR DE VOLLEYBALL,True
MANAO SY MIVAROTRA MOFO SY KAFE,10,FABRIQUER ET VENDRE DU PAIN ET DU CAFÉ,True
MPANETSA VARY,10,LANCEUR DE RIZ,True
MPIKARAMA MANETSA VARY,10,CUISEUR À RIZ,True
MANASA FIARA,10,LAVAGE DE VOITURE,True
FIASANA TANIM-PARAKY,10,TRAVAIL DU TABAC,True
EPICIER,10,PLUS ÉPICIER,True
PROSTITUTION,10,PROSTITUTION,True
MPAMBOLY TONGOLO SY VARY,10,Producteurs de légumes et de riz,True
MPAMBOLY VONEMBA,10,AGRICULTEUR VONEMBA,True
MIVAROTRA ENTANA MANDINIKA,10,VENDRE DES MARCHANDISES,True
MPAMPIVELONA,10,SAGES-FEMMES,True
MIVAROTRA PIECE DETACHE,10,A VENDRE PIÈCES DE RECHANGE,True
GARDIEN @OLO-TSOTRA,10,GARDIEN @OLO-TSOTRA,True
SARIKANTSAHA,10,DESSIN ANIMÉ,True
MPIKARAMA SARAKANTSAHA,10,EMPLOYÉ INDÉPENDANT,True
MIVAROTRA KOJAKOJA,10,VENTE D'ACCESSOIRES,True
MAMPIANATRA PRIMAIRE,10,ENSEIGNANT PRIMAIRE,True
"NAMBOLY VARY,OVY,MANGAHAZO,KATSAKA",9,"J'AI PLANTÉ DU RIZ, DES POMMES DE TERRE, DES MANGAS, DU MAÏS",True
MPANDRARY TSIHY SATRANA,9,PEINTRE DE TAPIS SATRANA,True
MITANTANA ORINASA KELY MPANAMBOATRA TOAKA GASY,9,DIRECTION D'UNE PETITE ENTREPRISE DE FABRICATION D'ALCOOL GAZEUX,True
MIOMPY KISOA SY ANKOHO,9,ÉLEVAGE DE COCHON ET DE POULET,True
SECRETAIRE COMMUNALE,9,SECRÉTAIRE MUNICIPAL,True
MAMBOLY ANTSOROKO,9,PLANTER MON ÉPAULE,True
MIVAROTRA KISOA VELONA,9,COCHONS VIVANTS À VENDRE,True
"MAMBOLY VARY,HANIKOTRANA",9,"PLANTATION DE RIZ, JARDINAGE",True
VARY SY MANGAHAZO,9,RIZ ET LÉGUMES,True
SERVEUR,9,SERVEUR,True
"MAMBOLY VARY,OVY,KATSAKA",9,"PLANT DU RIZ, DES POMMES DE TERRE, DU MAÏS",True
MPANGADY VOLAMENA,9,CHERCHEURS D'OR,True
KATEKISTE,9,CATECHISTE,True
RESPONSABLE LOGISTIQUE,9,RESPONSABLE LOGISTIQUE,True
BAR,9,BAR,True
MPIVAROTRA HAZO,9,Négociant en bois,True
MAMBOLY VARY(MADINIKA),9,CULTURE DU RIZ (PETIT),True
MANAMBOARA YAOURT,9,FAIRE DU YAOURT,True
MAMBOLY VARY MANGAHAZO VOMANGA HARICOT VERT,9,PLANTATION DE RIZ CULTURE DE POMMES DE TERRE HARICOT VERT,True
MPIVAROTRA APOMBO,9,VENDEUR DE TABAC,True
PANAMPY ATRANO,9,AIDE À DOMICILE,True
MIVAROTRA FASIKA,9,VENDRE DU SABLE,True
MIVAROTRA FITAOVANA AN-DAKOZIA,9,VENDRE DU MATERIEL À DOCLAND,True
MPIVAROTRA SARIBAO,9,Négociant en charbon,True
MPANARATO AMBONY SAMBO,9,PÊCHEUR EN BATEAU,True
MPAMPIANATRA SEKOLY PRIVEE SECONDAIRE,9,PROFESSEUR D'ÉCOLE SECONDAIRE PRIVÉE,True
MAMBOLY PETITS POIS,9,PLANTATION DE PETITS POIS,True
MIKARAMA MIANDRY OMBY,9,Embauche de troupeaux de bovins,True
MIANTOKA CHARBON,9,GARANTIE CARBONE,True
KARAMAINA MANAO CHARBON,9,FAIRE DU CHARBONE PAYER,True
MIKARAKARA BIBY FIOMPI AKOHO,9,À LA RECHERCHE D'ANIMAUX D'ÉLEVAGE DE POULETS,True
